client_id,birth_number,Bith_Date,district_id,Gender
1,706213,11-04-1941,18,Male
2,450204,17-03-1927,1,Female
3,406009,09-01-1937,1,Female
4,561201,25-01-1925,5,Male
5,605703,30-10-1930,5,Male
6,190922,19-09-1945,12,Male
7,290125,29-01-1948,15,Male
8,385221,08-05-1948,51,Male
9,351016,04-11-1939,60,Male
10,430501,12-06-1924,57,Female
11,505822,19-11-1949,57,Male
12,810220,22-04-1943,40,Female
13,745529,12-09-1956,54,Female
14,425622,11-09-1949,76,Female
15,185828,18-10-1955,21,Female
16,190225,19-02-1948,21,Female
17,341013,03-11-1936,76,Male
18,315405,01-07-1932,76,Male
19,421228,11-01-1952,47,Female
20,790104,20-03-1927,46,Male
21,526029,21-01-1957,12,Male
22,696011,07-02-1939,1,Male
23,730529,12-07-1952,1,Male
24,395729,09-10-1956,43,Male
25,395423,09-07-1950,21,Male
26,695420,08-08-1947,74,Male
27,665326,05-07-1953,54,Male
28,450929,15-10-1952,1,Female
29,515911,21-12-1938,30,Male
30,576009,26-01-1937,74,Male
31,620209,02-04-1932,68,Male
32,800728,18-09-1951,52,Male
33,486204,19-03-1932,73,Male
36,785717,17-11-1944,7,Male
37,700810,09-10-1933,7,Female
38,735723,12-11-1950,36,Male
39,680125,08-03-1948,68,Female
40,575122,26-04-1949,5,Female
41,680827,07-10-1950,22,Male
42,350817,04-09-1940,68,Female
43,201028,20-10-1951,75,Male
44,775111,16-05-1938,38,Female
45,520826,21-09-1949,20,Female
46,405130,09-04-1957,19,Male
47,340714,03-08-1937,76,Female
48,400209,11-03-1932,16,Male
49,595511,28-08-1938,72,Female
50,785730,17-11-1957,39,Male
51,796202,20-04-1930,36,Female
52,241212,24-12-1935,32,Female
53,770505,16-07-1928,64,Male
55,485918,18-12-1945,45,Male
56,600331,29-04-1954,21,Male
57,616217,02-04-1945,21,Male
58,275429,27-06-1956,1,Male
59,570218,29-03-1941,1,Female
60,800219,21-04-1942,67,Female
61,485806,17-11-1933,16,Male
